Date,Open,High,Low,Close,Adj_Close,Volume
"Jan 11, 2011",1006.51,1006.51,1006.51,1006.51,833.1,491800
"Jan 10, 2011",1006.51,1006.51,1006.51,1006.51,833.1,491800
"Jan 7, 2011",1006.51,1006.51,1006.51,1006.51,833.1,491800
"Jan 6, 2011",1006.51,1006.51,1006.51,1006.51,833.1,491800
"Jan 5, 2011",1006.51,1006.51,1006.51,1006.51,833.1,491800
"Jan 4, 2011",1006.51,1006.51,1006.51,1006.51,833.1,491800
"Jan 3, 2011",1006.51,1006.51,1006.51,1006.51,833.1,491800
"Dec 30, 2010",1006.51,1006.51,1006.51,1006.51,833.1,491800
"Dec 29, 2010",1006.51,1006.51,1006.51,1006.51,833.1,491800
"Dec 28, 2010",1006.51,1006.51,1006.51,1006.51,833.1,491800
"Dec 27, 2010",1006.51,1006.51,1006.51,1006.51,833.1,491800
"Dec 23, 2010",1006.51,1006.51,1006.51,1006.51,833.1,491800
"Dec 22, 2010",1006.51,1006.51,1006.51,1006.51,833.1,491800
"Dec 21, 2010",1006.51,1006.51,1006.51,1006.51,833.1,228016
"Dec 20, 2010",1006.51,1006.51,1006.51,1006.51,833.1,277196
"Dec 17, 2010",1006.51,1006.51,1006.51,1006.51,833.1,147540
"Dec 16, 2010",1028.87,1028.87,1028.87,1028.87,851.61,53650
"Dec 15, 2010",1028.87,1028.87,1028.87,1028.87,851.61,53650
"Dec 14, 2010",1028.87,1028.87,1028.87,1028.87,851.61,53650
"Dec 13, 2010",1028.87,1028.87,1028.87,1028.87,851.61,53650
"Dec 10, 2010",1028.87,1028.87,1028.87,1028.87,851.61,53650
"Dec 9, 2010",1028.87,1028.87,1028.87,1028.87,851.61,53650
"Dec 8, 2010",1028.87,1028.87,1028.87,1028.87,851.61,53650
"Dec 6, 2010",1028.87,1028.87,1028.87,1028.87,851.61,53650
"Dec 3, 2010",1028.87,1028.87,1028.87,1028.87,851.61,53650
"Dec 2, 2010",1028.87,1028.87,1028.87,1028.87,851.61,53650
